trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
41,1,2227,1826,557,24,0.6624775583482945,0.5669642857142857,0.5825688073394495,0.5746606334841629,0.6632616380345813,0.6768964304078373,True,balanced,entropy,10.0,0.5,0.913012594882901,19,21,900,-1,73
41,2,2227,1826,557,3,0.5978456014362658,0.4837209302325581,0.4792626728110599,0.4814814814814814,0.5975043576827326,0.587435619409054,True,balanced,entropy,10.0,0.5,0.913012594882901,19,21,900,-1,73
41,3,2227,1802,557,15,0.5673249551166966,0.4469026548672566,0.4654377880184331,0.455981941309255,0.5688183785507755,0.5950257522363784,True,balanced,entropy,10.0,0.5,0.913012594882901,19,21,900,-1,73
41,4,2227,1828,557,8,0.5296229802513465,0.4131274131274131,0.4930875576036866,0.4495798319327731,0.5348922784165191,0.5414068853347791,True,balanced,entropy,10.0,0.5,0.913012594882901,19,21,900,-1,73
41,5,2228,1818,556,17,0.5683453237410072,0.4454976303317535,0.4331797235023041,0.4392523364485981,0.5672129291156351,0.5681660617429958,True,balanced,entropy,10.0,0.5,0.913012594882901,19,21,900,-1,73
42,1,2227,1826,557,24,0.6535008976660682,0.5555555555555556,0.573394495412844,0.5643340857787811,0.6544311028571428,0.6790073340369679,True,balanced,entropy,10.0,,0.8942228854665637,19,27,800,-1,73
42,2,2227,1826,557,3,0.59245960502693,0.4759615384615384,0.456221198156682,0.4658823529411764,0.5908062011535312,0.5888655462184873,True,balanced,entropy,10.0,,0.8942228854665637,19,27,800,-1,73
42,3,2227,1802,557,15,0.5673249551166966,0.4464285714285714,0.4608294930875576,0.4535147392290249,0.5685087166489607,0.5927080509623204,True,balanced,entropy,10.0,,0.8942228854665637,19,27,800,-1,73
42,4,2227,1828,557,8,0.533213644524237,0.4176245210727969,0.5023041474654378,0.4560669456066946,0.538550837531111,0.5423014367037138,True,balanced,entropy,10.0,,0.8942228854665637,19,27,800,-1,73
42,5,2228,1818,556,17,0.5773381294964028,0.4575471698113207,0.4470046082949309,0.4522144522144522,0.5764221435719377,0.5704634123132554,True,balanced,entropy,10.0,,0.8942228854665637,19,27,800,-1,73
43,1,2227,1826,557,24,0.6678635547576302,0.5797101449275363,0.5504587155963303,0.5647058823529412,0.6662166252997905,0.684690536115396,True,balanced,entropy,10.0,log2,0.8272764108851351,18,23,900,-1,73
