trial_number,objective_value,is_best,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
38,0.4637574781542122,False,True,balanced_subsample,entropy,5.0,,0.7385939811119597,17,4,700,-1,73,0.5736338039083992,0.0490406622089786,0.4606760979429064,0.060551023107045,0.4704942290618527,0.036920549798367,0.4637574781542122,0.0406206315338405,0.5739918859407189,0.0460263622179611,0.5927786796899432,0.0380240834229739
39,0.4712718385109737,False,True,balanced,log_loss,10.0,sqrt,0.8690981848674757,14,8,1000,-1,73,0.5858394792245198,0.0482285940664022,0.4731612243224174,0.0624377239219037,0.4713947490804549,0.042122884837887,0.4712718385109737,0.0485296679364891,0.5856280655600409,0.0461466911328718,0.5937233554281212,0.0493433785675251
40,0.354389764991902,False,True,,gini,15.0,,0.9679268115821688,6,2,900,-1,73,0.6124226650995183,0.0262577626288572,0.5023343739754916,0.0590235979103117,0.2752378133851942,0.0571161691418977,0.354389764991902,0.0619834923046697,0.5790781291314426,0.0326362818351379,0.5901299266678468,0.0581465396502362
41,0.4801912449312541,False,True,balanced,entropy,10.0,0.5,0.913012594882901,19,21,900,-1,73,0.5851232837787221,0.0443263021209387,0.4712425828546534,0.0528222702633943,0.4907073098549867,0.0500462824631635,0.4801912449312541,0.0492448439926313,0.5863379163600487,0.043269623001917,0.5937861498262089,0.0454954082323178
42,0.4784025151540258,False,True,balanced,entropy,10.0,,0.8942228854665637,19,27,800,-1,73,0.5847674463660668,0.0394985730551229,0.4706234712659566,0.0464913442752749,0.4879507884834905,0.0467451969857619,0.4784025151540258,0.0432321246063552,0.5857438003525367,0.038352811011706,0.594669156046949,0.0457793668496696
43,0.4757683070418835,False,True,balanced,entropy,10.0,log2,0.8272764108851351,18,23,900,-1,73,0.5840460844968549,0.0460571866476436,0.4710659689959064,0.05733847646975,0.4824419735340125,0.0424517999401549,0.4757683070418835,0.0464239010597896,0.5847398074568535,0.0442323231476157,0.5949357938798144,0.0482034979228078
44,0.4794235008981801,False,True,balanced,entropy,,sqrt,0.9200939827503622,20,20,1000,-1,73,0.5861991914547358,0.0478748089214022,0.4729900632010502,0.0598785224825653,0.4870291294973153,0.0464064532682889,0.4794235008981801,0.0518236414535584,0.587251076510476,0.0465175818133097,0.5940510974220004,0.0510182952063022
45,0.4624861632956076,False,True,balanced,entropy,10.0,0.5,0.8766977073531175,1,30,600,-1,73,0.5858368960128126,0.0495715170766262,0.4711843950976823,0.0646788392693128,0.4557180907284488,0.0519902073995873,0.4624861632956076,0.0553254307722794,0.5844206807713531,0.0480879688563282,0.5916653283422335,0.049726889173423
46,0.4775020277324424,False,True,balanced_subsample,entropy,20.0,,0.8999526931588583,19,39,1000,-1,73,0.5872776823424564,0.0389860399036806,0.4717410282992581,0.0485041673088168,0.4842514691582463,0.0568261436333695,0.4775020277324424,0.0511485830852971,0.5879447438382261,0.0388848022441314,0.5929669899633885,0.0486094757140175
47,0.4673145411149628,False,True,balanced,entropy,5.0,0.5,0.9309324370928336,16,26,900,-1,73,0.5822559187838239,0.040804535104342,0.4687192617786955,0.0510069248948974,0.4686509110895024,0.0367816091948886,0.4673145411149628,0.0363431323849309,0.5819078835271838,0.0382511589756178,0.5911865482966647,0.03968809313182
