trial_number,objective_value,is_best,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
10,0.2769073535041352,False,0.7057628490872786,logloss,0.1637434041427772,0.0114008801285384,2,9,600,-1,binary:logistic,73,1.1804843117482667e-08,0.3492005833715648,0.6277622585122522,hist,0,0.6289423039665216,0.0210587113160944,0.5655942833698966,0.0770775681195122,0.1850040164038388,0.0550949537779807,0.2769073535041352,0.0710548569653612,0.5655753282210992,0.0336097017418156,0.586641781740523,0.0422171657864489
11,0.385398723995457,False,0.8799461688611904,logloss,1.72264354799537,0.2427731844527083,7,10,600,-1,binary:logistic,73,0.8182485233120627,8.889712341196999,0.6006472787393548,hist,0,0.5833279516422769,0.0324856461156988,0.4519467575837642,0.0518010776487707,0.3396482475795882,0.0779586915014034,0.385398723995457,0.0666838357990411,0.5674028226702575,0.0356959011935622,0.5561148931388324,0.0546064880751271
12,0.3875717752030971,False,0.867492175668823,logloss,1.6816961735461566,0.1243808490553333,7,10,600,-1,binary:logistic,73,0.2294181741683001,0.6147615546126064,0.6826800205336332,hist,0,0.5800905415703344,0.029440982055801,0.4485914338600609,0.0477356371961489,0.343360250285376,0.0624148771377111,0.3875717752030971,0.0555189594321398,0.5658599578601754,0.0315697229722484,0.5661096930188345,0.0515428853068533
13,0.4011871184799326,False,0.7433002825364808,logloss,0.2046414774686742,0.1153929669872856,8,7,500,-1,binary:logistic,73,0.4663520787776994,0.5865886146889308,0.6874381389855947,hist,0,0.5725578962323856,0.0320484924168012,0.439941953977879,0.0523790815744764,0.3700672219168816,0.0684410037893677,0.4011871184799326,0.0613529745798769,0.5634281723983708,0.0353777973858304,0.555500376675641,0.0546930544473402
14,0.4078764067377281,False,0.6998465161822723,logloss,0.0546248705468432,0.0945562308426612,8,7,500,-1,binary:logistic,73,1.788313908042479e-07,0.2554156720109515,0.6806990330851235,hist,0,0.5800982912054558,0.0333146449662609,0.4516363726398114,0.0551153091520614,0.3737665412421257,0.0680601613713325,0.4078764067377281,0.0615182841221765,0.5702056582708595,0.0360632531466487,0.5605872512298766,0.0511334788144645
15,0.3891270624981639,False,0.6718463666290666,logloss,0.7906441705994963,0.0280814601660477,6,7,500,-1,binary:logistic,73,7.821316028674164e-08,0.2400924738089525,0.6563740089733123,hist,0,0.5948200147243068,0.0385980882525102,0.469328861211472,0.0682049743355924,0.3332135458504207,0.0694881613394413,0.3891270624981639,0.0700733035044746,0.5767137128736914,0.0426693438509843,0.5714140391678255,0.0534127715091921
16,0.3620779361018573,False,0.601528196837165,logloss,0.7742146395937552,0.0249978944930409,5,5,500,-1,binary:logistic,73,4.014631024026706e-07,0.107946013330061,0.7307076882321467,hist,0,0.5973341255182568,0.0378722443897311,0.4720410721516067,0.0723512620872888,0.296376780958018,0.0736122903662977,0.3620779361018573,0.0731876332169592,0.5713729679749358,0.042058004478989,0.5737422028186332,0.0456938585551831
17,0.3446944981565661,False,0.6680044594904417,logloss,2.269042809240669,0.0905343873414419,2,8,300,-1,binary:logistic,73,2.136308391342997e-07,0.2700361160992311,0.7452401166031214,hist,0,0.6095423840460844,0.0329396634108299,0.4973382052901051,0.0741048311348296,0.2669132879550163,0.0701606092761375,0.3446944981565661,0.072283250130738,0.5744423296668216,0.0387306236652432,0.5767330684811068,0.0430137725340219
18,0.3850771050889801,False,0.7570530532554127,logloss,0.0994437528954474,0.182881263375972,6,5,400,-1,binary:logistic,73,2.248735217861333e-08,1.183348379905889,0.6492179357813326,hist,0,0.5560292161244075,0.0460118300112597,0.4178203697690142,0.0725214713404953,0.3581110218576924,0.0721253425247349,0.3850771050889801,0.0715175579942048,0.5480076967601847,0.0477587440745816,0.5443788561055035,0.0599858501511893
19,0.3690289372802177,False,0.6687299442852588,logloss,0.7038077078892646,0.0124292575729766,7,7,600,-1,binary:logistic,73,1.2811892906678618e-06,0.1973391774752124,0.7386519450800785,hist,0,0.5998411324800125,0.0379277339543637,0.4743723847535587,0.0761421528684313,0.3028283938612438,0.0717068897815772,0.3690289372802177,0.0760589024202499,0.575060749191783,0.0441156589103142,0.5778659926127397,0.0529800675048954
20,0.3706697322155645,False,0.6048237474042139,logloss,1.497988714150453,0.0933089144466429,4,8,500,-1,binary:logistic,73,0.000124736561472,0.3493317068244848,0.7060034739708079,hist,0,0.5862037120752233,0.0346571782747177,0.4559653376143108,0.0593654554449382,0.3166405952733268,0.0737863564839843,0.3706697322155645,0.0665395160497208,0.5658227175017092,0.036610495975557,0.5611581198515856,0.0516451130011906
21,0.4153241115111428,True,0.742249345421823,logloss,0.0133244640832353,0.1169513882507317,8,7,500,-1,binary:logistic,73,0.0201118435489907,0.7780196215518866,0.6623291806356444,hist,0,0.5800995828113094,0.0337594753602099,0.4547363293219589,0.0523278288694364,0.3829873588973914,0.0494423227353007,0.4153241115111428,0.0493838639706888,0.5719756449653756,0.034271942680982,0.5543921381116775,0.055006122192922
22,0.4084119233077884,False,0.7614100219449179,logloss,0.5112953226141601,0.2003027618685337,8,6,600,-1,binary:logistic,73,0.0308667916160931,1.0373236420038316,0.6479797979855698,hist,0,0.5660888883148419,0.0545807552266545,0.4380689964079944,0.0832556886402092,0.3838794233289646,0.0673576282029078,0.4084119233077884,0.0724147113673812,0.5599661518036795,0.0543146471439753,0.5491051201939394,0.0561765345735809
23,0.3882934389362581,False,0.7969386772919858,logloss,0.6736821816273647,0.1686688713454647,8,8,400,-1,binary:logistic,73,0.0369685115192016,0.957262351656212,0.6605102547760232,hist,0,0.5632150652906759,0.0367341028339681,0.4263710373507772,0.0580509537086816,0.3571809072844882,0.0638816024183603,0.3882934389362581,0.061230619889774,0.5540705027902224,0.0389863504170906,0.5484160585536271,0.0576213001533207
24,0.3973551363221763,False,0.7469445516186171,logloss,1.064522189080184,0.0756559978094011,8,5,500,-1,binary:logistic,73,0.0553235722379027,0.897436923591153,0.6464171198039088,hist,0,0.5826085271818451,0.0443247717569417,0.4528423374695526,0.0739587479378116,0.3544032469454192,0.0701191039568542,0.3973551363221763,0.0723435532213629,0.5701331746484681,0.047191320099785,0.5643494042746962,0.0565340200237114
25,0.3777234365563163,False,0.7140543599834803,logloss,2.0822068014531268,0.1289058657890913,7,7,300,-1,binary:logistic,73,0.0109017021379721,2.0643541597938317,0.715686372059301,hist,0,0.5948264727535746,0.0291759592332259,0.4688232379536727,0.0544572624381579,0.3194140278188813,0.0713628357137525,0.3777234365563163,0.0655804382260921,0.5735971479100039,0.033885690144493,0.5723930295063233,0.0474204963198219
26,0.389805977997519,False,0.8325897305242593,logloss,0.5056225695983,0.2023916644463066,8,4,600,-1,binary:logistic,73,0.0765178062447782,0.7390492706763843,0.7644536040262364,hist,0,0.5678900326776282,0.0381547261068303,0.4343597306717332,0.0619403087522418,0.3544412970870503,0.0536421441491124,0.389805977997519,0.0557575069656458,0.5577728951228342,0.0387156920289048,0.5494184545307044,0.0477930355935922
27,0.3818835877935487,False,0.7604884285210634,logloss,1.1311357411516163,0.103813336713367,7,9,500,-1,binary:logistic,73,0.007838765460084,0.4185092656176364,0.6695387397758396,hist,0,0.5671609211732948,0.0337412092438537,0.4284848347065627,0.057040601569071,0.3451993404642117,0.0669467278382443,0.3818835877935487,0.0629491777581015,0.5556283068334185,0.0373723549222062,0.5529824528082179,0.0528241434442569
28,0.379732367870032,False,0.6984558380724571,logloss,0.415904642159807,0.0783688367019105,8,6,400,-1,binary:logistic,73,0.0001451201301484,1.2322004082375566,0.8159998205707657,hist,0,0.5671718998230499,0.0380909682608088,0.4315194732630573,0.0623430795886302,0.3397074366887921,0.0480050648759573,0.379732367870032,0.0528850673540309,0.5551909185122881,0.0381668517448013,0.5544985901816197,0.0508819738542746
29,0.3646047399361903,False,0.7946496815330876,logloss,1.3770373015026105,0.0443489859760775,6,4,400,-1,binary:logistic,73,0.0006350967992383,2.48900600517822,0.8907297569367307,hist,0,0.6095436756519381,0.0348249489281163,0.4979864132301762,0.0705292476295845,0.2917769416141715,0.0757557442512064,0.3646047399361903,0.0753136525373742,0.5797759912950149,0.0401206993830308,0.5784919518488725,0.0526036937142175
