trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity
2,5,2228,1818,556,17,0.5665467625899281,0.4333333333333333,0.3594470046082949,0.3929471032745592,0.5575632837162656,0.5374848769082283,0.6136175405321111,logloss,0.1372727267344514,0.271527423263149,2,6,600,-1,binary:logistic,73,5.011596140896913e-06,0.2435969883794701,0.6173709429837138,hist,0
3,1,2227,1826,557,24,0.6678635547576302,0.6240601503759399,0.3807339449541284,0.4729344729344729,0.6461479951836219,0.6492990717436605,0.86209001442807,logloss,3.44580427018248,0.2506561592048676,8,1,200,-1,binary:logistic,73,0.0012424627660752,1.605283540642144,0.9279542010007942,hist,0
3,2,2227,1826,557,3,0.6319569120287253,0.5967741935483871,0.1705069124423963,0.2652329749103942,0.5638824087313105,0.5786866359447004,0.86209001442807,logloss,3.44580427018248,0.2506561592048676,8,1,200,-1,binary:logistic,73,0.0012424627660752,1.605283540642144,0.9279542010007942,hist,0
3,3,2227,1802,557,15,0.6140035906642729,0.5086206896551724,0.271889400921659,0.3543543543543543,0.5804253923706727,0.585910815939279,0.86209001442807,logloss,3.44580427018248,0.2506561592048676,8,1,200,-1,binary:logistic,73,0.0012424627660752,1.605283540642144,0.9279542010007942,hist,0
3,4,2227,1828,557,8,0.5798922800718133,0.4123711340206185,0.184331797235023,0.2547770700636942,0.5311249985705955,0.5259487666034155,0.86209001442807,logloss,3.44580427018248,0.2506561592048676,8,1,200,-1,binary:logistic,73,0.0012424627660752,1.605283540642144,0.9279542010007942,hist,0
3,5,2228,1818,556,17,0.5845323741007195,0.4426229508196721,0.2488479262672811,0.3185840707964602,0.551847912504465,0.589555890869051,0.86209001442807,logloss,3.44580427018248,0.2506561592048676,8,1,200,-1,binary:logistic,73,0.0012424627660752,1.605283540642144,0.9279542010007942,hist,0
4,1,2227,1826,557,24,0.6732495511669659,0.6914893617021277,0.2981651376146789,0.4166666666666667,0.6335783819923559,0.6624042651078454,0.6325648711189599,logloss,3.66598040069765,0.0561755793396314,3,4,100,-1,binary:logistic,73,0.007065509963103,0.172219252069822,0.7906392891802798,hist,0
4,2,2227,1826,557,3,0.6319569120287253,0.7142857142857143,0.0921658986175115,0.1632653061224489,0.5300205328385226,0.5631336405529954,0.6325648711189599,logloss,3.66598040069765,0.0561755793396314,3,4,100,-1,binary:logistic,73,0.007065509963103,0.172219252069822,0.7906392891802798,hist,0
4,3,2227,1802,557,15,0.6157989228007181,0.5176470588235295,0.2027649769585253,0.2913907284768212,0.5630626153490502,0.5883301707779885,0.6325648711189599,logloss,3.66598040069765,0.0561755793396314,3,4,100,-1,binary:logistic,73,0.007065509963103,0.172219252069822,0.7906392891802798,hist,0
4,4,2227,1828,557,8,0.6104129263913824,0.5,0.1428571428571428,0.2222222222222222,0.5383535741204605,0.5314651667118461,0.6325648711189599,logloss,3.66598040069765,0.0561755793396314,3,4,100,-1,binary:logistic,73,0.007065509963103,0.172219252069822,0.7906392891802798,hist,0
4,5,2228,1818,556,17,0.6025179856115108,0.46,0.1059907834101382,0.1722846441947565,0.5174896210948268,0.5613283851936436,0.6325648711189599,logloss,3.66598040069765,0.0561755793396314,3,4,100,-1,binary:logistic,73,0.007065509963103,0.172219252069822,0.7906392891802798,hist,0
5,1,2227,1826,557,24,0.651705565529623,0.5857142857142857,0.3761467889908257,0.4581005586592179,0.6317304457731526,0.6462206706178452,0.6308633956640812,logloss,2.9320580472813984,0.1733623847228064,4,3,100,-1,binary:logistic,73,2.4630874136322493e-05,1.858990580726907,0.8431516394729066,hist,0
5,2,2227,1826,557,3,0.6283662477558348,0.631578947368421,0.1105990783410138,0.188235294117647,0.536650950082685,0.562313635131472,0.6308633956640812,logloss,2.9320580472813984,0.1733623847228064,4,3,100,-1,binary:logistic,73,2.4630874136322493e-05,1.858990580726907,0.8431516394729066,hist,0
5,3,2227,1802,557,15,0.6104129263913824,0.5,0.2764976958525346,0.3560830860534125,0.578662611703116,0.5692328544320955,0.6308633956640812,logloss,2.9320580472813984,0.1733623847228064,4,3,100,-1,binary:logistic,73,2.4630874136322493e-05,1.858990580726907,0.8431516394729066,hist,0
5,4,2227,1828,557,8,0.5870736086175943,0.4380952380952381,0.2119815668202765,0.2857142857142857,0.5444571387120758,0.5192396313364055,0.6308633956640812,logloss,2.9320580472813984,0.1733623847228064,4,3,100,-1,binary:logistic,73,2.4630874136322493e-05,1.858990580726907,0.8431516394729066,hist,0
5,5,2228,1818,556,17,0.5881294964028777,0.4387755102040816,0.1981566820276497,0.273015873015873,0.5410799089711918,0.5615866672104183,0.6308633956640812,logloss,2.9320580472813984,0.1733623847228064,4,3,100,-1,binary:logistic,73,2.4630874136322493e-05,1.858990580726907,0.8431516394729066,hist,0
6,1,2227,1826,557,24,0.6678635547576302,0.5988023952095808,0.4587155963302752,0.5194805194805194,0.6574828485859805,0.672985846120538,0.875394498667847,logloss,3.9650350078750742,0.2654099557555474,6,9,100,-1,binary:logistic,73,0.0020735497997211,4.153281029591246,0.6022222985971283,hist,0
6,2,2227,1826,557,3,0.6157989228007181,0.5148514851485149,0.2396313364055299,0.3270440251572327,0.5737190633451348,0.5965708864190837,0.875394498667847,logloss,3.9650350078750742,0.2654099557555474,6,9,100,-1,binary:logistic,73,0.0020735497997211,4.153281029591246,0.6022222985971283,hist,0
6,3,2227,1802,557,15,0.5745062836624776,0.435064935064935,0.3087557603686636,0.3611859838274933,0.5564185597195381,0.5519449715370018,0.875394498667847,logloss,3.9650350078750742,0.2654099557555474,6,9,100,-1,binary:logistic,73,0.0020735497997211,4.153281029591246,0.6022222985971283,hist,0
6,4,2227,1828,557,8,0.6122082585278277,0.504424778761062,0.2626728110599078,0.3454545454545454,0.5768225618956576,0.5370764434806181,0.875394498667847,logloss,3.9650350078750742,0.2654099557555474,6,9,100,-1,binary:logistic,73,0.0020735497997211,4.153281029591246,0.6022222985971283,hist,0
