trial_number,objective_value,is_best,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
30,0.4782160517320809,False,True,balanced,gini,,0.7,0.996335010753702,6,15,600,-1,73,0.5923033207186494,0.0406174532346173,0.4787653865349113,0.0541305854555275,0.4787553375893122,0.0494883556740036,0.4782160517320809,0.0492913947863621,0.5921642270743934,0.0398988659275722,0.6012068060887769,0.0503763185710162
31,0.4861316978174168,False,True,balanced,entropy,,0.7,0.9329042983566844,10,10,700,-1,73,0.5829669478062074,0.0341433573189649,0.4688937003102292,0.0405699896077617,0.5054623092208177,0.0402603513142343,0.4861316978174168,0.0384393743038465,0.5853071556833551,0.0333961366660693,0.5995784016136658,0.0483702490120882
32,0.48833458076234,False,True,balanced,entropy,,0.7,0.9376867741883492,10,12,700,-1,73,0.5887107190369787,0.0340664550169811,0.4756464504339003,0.041893643832105,0.5027142434363505,0.0376612112056899,0.48833458076234,0.037070498245594,0.5904378680883399,0.0330815377314125,0.5985929308225947,0.0484028556881816
33,0.4789653956659747,False,True,balanced,entropy,,0.7,0.9645779893764516,8,19,800,-1,73,0.5840441470880746,0.0376191066598203,0.4697313568310273,0.046897769704116,0.489811017629899,0.0438751847722518,0.4789653956659747,0.0423154580987238,0.5853024374072504,0.0366166322000505,0.6012874463899018,0.047817071750798
34,0.3116051893968093,False,False,,entropy,50.0,0.7,,8,12,700,-1,73,0.6239192488020355,0.0186379259927694,0.5411632943950685,0.0531385782480604,0.2209233501035809,0.0518892170512057,0.3116051893968093,0.0587616212922587,0.5734522360888216,0.0270984210982731,0.60044382518726,0.0496467926016508
35,0.4673968254539068,False,True,balanced,entropy,15.0,sqrt,0.9529312958330786,4,5,800,-1,73,0.5897995427715279,0.0333583164322207,0.4756986339366202,0.0444712688503425,0.4612818669936159,0.0392116477711641,0.4673968254539068,0.0360466022415729,0.5883709448654495,0.0315971507648735,0.5967824793780989,0.049133163743016
36,0.4890754641431004,False,False,balanced,log_loss,30.0,log2,,6,8,700,-1,73,0.58044831639177,0.0433049080308661,0.4672392746661131,0.0509366223484888,0.5137403289223355,0.0439548952943785,0.4890754641431004,0.0466549525059604,0.5834403037369386,0.042309394694056,0.599751996994195,0.0489788856448529
37,0.2836665584661021,False,False,,log_loss,30.0,log2,,3,8,600,-1,73,0.6293065368172249,0.0234576040300738,0.5872282649888894,0.0919112198413208,0.1914556293070646,0.0536560799552896,0.2836665584661021,0.0652781734226631,0.5676720116072805,0.0297395199402366,0.6011984286311958,0.0478189387046271
38,0.4893199378583517,False,False,balanced,log_loss,30.0,log2,,6,10,800,-1,73,0.5793737003216098,0.0397440517389403,0.4662806216485852,0.0462852546370939,0.5155921024817147,0.0383787945786788,0.4893199378583517,0.041099404728345,0.5824716296853664,0.0386799267641472,0.599730513009914,0.0486402058690049
39,0.4873078864773271,False,False,balanced,log_loss,30.0,log2,,20,10,800,-1,73,0.5696814899965126,0.027747318502502,0.4545779472211361,0.0313035774516843,0.5256923011880099,0.0531818540677727,0.4873078864773271,0.0401545467039624,0.5737220878578426,0.027732834082443,0.590507606437306,0.0481049433406346
