trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
7,5,2228,1818,556,17,0.6133093525179856,0.5714285714285714,0.0368663594470046,0.0692640692640692,0.487950450701249,0.5648491768959939,False,,entropy,50.0,0.3,,17,28,300,-1,73
8,1,2227,1826,557,24,0.6193895870736086,0.5121951219512195,0.5779816513761468,0.5431034482758621,0.6226757592064346,0.6651782089794593,False,balanced,gini,5.0,0.7,,15,16,400,-1,73
8,2,2227,1826,557,3,0.578096947935368,0.4598214285714285,0.4746543778801843,0.4671201814058957,0.579251238226165,0.5906275413391163,False,balanced,gini,5.0,0.7,,15,16,400,-1,73
8,3,2227,1802,557,15,0.5709156193895871,0.4521739130434782,0.4792626728110599,0.465324384787472,0.5729736194642909,0.595364597451884,False,balanced,gini,5.0,0.7,,15,16,400,-1,73
8,4,2227,1828,557,8,0.5493716337522442,0.4330708661417323,0.5069124423963134,0.4670912951167728,0.5541062722118281,0.5410544863106533,False,balanced,gini,5.0,0.7,,15,16,400,-1,73
8,5,2228,1818,556,17,0.5377697841726619,0.4206349206349206,0.488479262672811,0.4520255863539446,0.5424370422187819,0.5643733942335141,False,balanced,gini,5.0,0.7,,15,16,400,-1,73
9,1,2227,1826,557,24,0.6373429084380611,0.5333333333333333,0.5871559633027523,0.5589519650655022,0.6399718730023847,0.6785607967308057,True,balanced,entropy,30.0,sqrt,0.960267413620678,6,40,700,-1,73
9,2,2227,1826,557,3,0.5906642728904847,0.4755555555555555,0.4930875576036866,0.4841628959276018,0.5919321464257571,0.5989766874491732,True,balanced,entropy,30.0,sqrt,0.960267413620678,6,40,700,-1,73
9,3,2227,1802,557,15,0.5745062836624776,0.4572649572649572,0.4930875576036866,0.4745011086474501,0.5770705189192732,0.5894144754676064,True,balanced,entropy,30.0,sqrt,0.960267413620678,6,40,700,-1,73
9,4,2227,1828,557,8,0.5403949730700179,0.4229249011857707,0.4930875576036866,0.4553191489361702,0.5451507644812268,0.5324071564109514,True,balanced,entropy,30.0,sqrt,0.960267413620678,6,40,700,-1,73
9,5,2228,1818,556,17,0.5719424460431655,0.4541484716157205,0.4792626728110599,0.4663677130044843,0.5738446934853039,0.5717820099778421,True,balanced,entropy,30.0,sqrt,0.960267413620678,6,40,700,-1,73
10,1,2227,1826,557,24,0.6463195691202872,0.5432098765432098,0.6055045871559633,0.5726681127982647,0.6491393032826924,0.6829179183242673,True,balanced,entropy,30.0,sqrt,0.9711839648290193,7,40,600,-1,73
10,2,2227,1826,557,3,0.585278276481149,0.4695652173913043,0.4976958525345622,0.4832214765100671,0.5872673895240637,0.599261317430198,True,balanced,entropy,30.0,sqrt,0.9711839648290193,7,40,600,-1,73
10,3,2227,1802,557,15,0.5583482944344704,0.4377682403433476,0.4700460829493088,0.4533333333333333,0.5608787754248592,0.5850772567091352,True,balanced,entropy,30.0,sqrt,0.9711839648290193,7,40,600,-1,73
10,4,2227,1828,557,8,0.5385996409335727,0.4193548387096774,0.4792626728110599,0.4473118279569892,0.542960075759881,0.5295473027920846,True,balanced,entropy,30.0,sqrt,0.9711839648290193,7,40,600,-1,73
10,5,2228,1818,556,17,0.5683453237410072,0.4493392070484581,0.4700460829493088,0.4594594594594595,0.5699753516494137,0.5683835623887008,True,balanced,entropy,30.0,sqrt,0.9711839648290193,7,40,600,-1,73
11,1,2227,1826,557,24,0.6481149012567325,0.5474137931034483,0.5825688073394495,0.5644444444444444,0.6498790373943409,0.6862601824037239,True,balanced,entropy,,0.7,0.8661127205558026,12,2,500,-1,73
11,2,2227,1826,557,3,0.585278276481149,0.4695652173913043,0.4976958525345622,0.4832214765100671,0.5872673895240637,0.6025548929249119,True,balanced,entropy,,0.7,0.8661127205558026,12,2,500,-1,73
11,3,2227,1802,557,15,0.5691202872531418,0.4497816593886463,0.4746543778801843,0.4618834080717489,0.5710466982564004,0.5958389807535918,True,balanced,entropy,,0.7,0.8661127205558026,12,2,500,-1,73
11,4,2227,1828,557,8,0.5439856373429084,0.4262948207171315,0.4930875576036866,0.4572649572649572,0.5485498836628007,0.5410409325020331,True,balanced,entropy,,0.7,0.8661127205558026,12,2,500,-1,73
11,5,2228,1818,556,17,0.5557553956834532,0.4353448275862069,0.4654377880184331,0.4498886414253897,0.5581505711191561,0.5697021600532877,True,balanced,entropy,,0.7,0.8661127205558026,12,2,500,-1,73
12,1,2227,1826,557,24,0.644524236983842,0.5427350427350427,0.5825688073394495,0.5619469026548672,0.6465200637954185,0.6832156098617088,True,balanced,entropy,10.0,0.7,0.7525183153506143,11,38,500,-1,73
12,2,2227,1826,557,3,0.5745062836624776,0.4545454545454545,0.4608294930875576,0.4576659038901602,0.5750240401459591,0.5990918948224451,True,balanced,entropy,10.0,0.7,0.7525183153506143,11,38,500,-1,73
12,3,2227,1802,557,15,0.5583482944344704,0.4382978723404255,0.4746543778801843,0.4557522123893805,0.561137916000651,0.5930604499864462,True,balanced,entropy,10.0,0.7,0.7525183153506143,11,38,500,-1,73
12,4,2227,1828,557,8,0.5529622980251346,0.4344262295081967,0.488479262672811,0.4598698481561822,0.5568114498573884,0.5396448902141502,True,balanced,entropy,10.0,0.7,0.7525183153506143,11,38,500,-1,73
12,5,2228,1818,556,17,0.5665467625899281,0.4482758620689655,0.4792626728110599,0.4632516703786191,0.568883755626383,0.5684923127115534,True,balanced,entropy,10.0,0.7,0.7525183153506143,11,38,500,-1,73
13,1,2227,1826,557,24,0.644524236983842,0.5458715596330275,0.5458715596330275,0.5458715596330275,0.644524236983842,0.685082947687478,True,balanced,entropy,30.0,sqrt,0.995185968071485,6,9,1000,-1,73
13,2,2227,1826,557,3,0.5834829443447038,0.4663677130044843,0.4792626728110599,0.4727272727272727,0.5844688998783901,0.5935009487666034,True,balanced,entropy,30.0,sqrt,0.995185968071485,6,9,1000,-1,73
13,3,2227,1802,557,15,0.5709156193895871,0.4481132075471698,0.4377880184331797,0.4428904428904429,0.5699811290501773,0.5913933315261588,True,balanced,entropy,30.0,sqrt,0.995185968071485,6,9,1000,-1,73
13,4,2227,1828,557,8,0.5421903052064632,0.4201680672268907,0.4608294930875576,0.4395604395604395,0.5454607561602818,0.537381404174573,True,balanced,entropy,30.0,sqrt,0.995185968071485,6,9,1000,-1,73
13,5,2228,1818,556,17,0.5629496402877698,0.4392523364485981,0.4331797235023041,0.4361948955916473,0.5623912493419718,0.5656783981077443,True,balanced,entropy,30.0,sqrt,0.995185968071485,6,9,1000,-1,73
14,1,2227,1826,557,24,0.6373429084380611,0.5347826086956522,0.5642201834862385,0.5491071428571429,0.6389327420521317,0.6820248437119427,True,balanced,entropy,20.0,0.5,0.8665811421040716,14,22,600,-1,73
14,2,2227,1826,557,3,0.5745062836624776,0.4541284403669725,0.456221198156682,0.4551724137931034,0.5746820331026388,0.5874559501219843,True,balanced,entropy,20.0,0.5,0.8665811421040716,14,22,600,-1,73
14,3,2227,1802,557,15,0.5637342908438061,0.4434782608695652,0.4700460829493088,0.4563758389261745,0.5658267344344046,0.5911087015451342,True,balanced,entropy,20.0,0.5,0.8665811421040716,14,22,600,-1,73
14,4,2227,1828,557,8,0.5421903052064632,0.424,0.488479262672811,0.4539614561027837,0.5466903856089692,0.5381404174573055,True,balanced,entropy,20.0,0.5,0.8665811421040716,14,22,600,-1,73
14,5,2228,1818,556,17,0.5737410071942446,0.4553571428571428,0.4700460829493088,0.4625850340136054,0.5749006075105851,0.573222951755638,True,balanced,entropy,20.0,0.5,0.8665811421040716,14,22,600,-1,73
15,1,2227,1826,557,24,0.6499102333931778,0.5550239234449761,0.5321100917431193,0.5433255269320844,0.6485139271949976,0.6915645043435902,True,balanced,gini,,,0.7298961627749766,5,29,500,-1,73
15,2,2227,1826,557,3,0.6050269299820467,0.4931506849315068,0.4976958525345622,0.4954128440366973,0.6053502753683162,0.6015451341827054,True,balanced,gini,,,0.7298961627749766,5,29,500,-1,73
15,3,2227,1802,557,15,0.5745062836624776,0.4541284403669725,0.456221198156682,0.4551724137931034,0.5746820331026388,0.5993223095689889,True,balanced,gini,,,0.7298961627749766,5,29,500,-1,73
15,4,2227,1828,557,8,0.5403949730700179,0.4204081632653061,0.4746543778801843,0.4458874458874459,0.5444535785318462,0.5427351585795608,True,balanced,gini,,,0.7298961627749766,5,29,500,-1,73
15,5,2228,1818,556,17,0.5539568345323741,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5539568345323741,0.56759512254802,True,balanced,gini,,,0.7298961627749766,5,29,500,-1,73
