trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_class_weight,param_early_stopping,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_random_state
3,2,2227,1826,557,3,0.5691202872531418,0.4484304932735426,0.4608294930875576,0.4545454545454545,0.570140241253507,0.5815668202764976,balanced,False,0.5859235662343548,0.0295792708930745,127,10.0,100,15,12,73
3,3,2227,1802,557,15,0.585278276481149,0.4705882352941176,0.5161290322580645,0.4923076923076923,0.588240920286373,0.5843046896177826,balanced,False,0.5859235662343548,0.0295792708930745,127,10.0,100,15,12,73
3,4,2227,1828,557,8,0.5008976660682226,0.3944636678200692,0.5253456221198156,0.4505928853754941,0.5068548111502563,0.519083762537273,balanced,False,0.5859235662343548,0.0295792708930745,127,10.0,100,15,12,73
3,5,2228,1818,556,17,0.5503597122302158,0.4342629482071713,0.5023041474654378,0.4658119658119658,0.5548234131280737,0.5786060927368379,balanced,False,0.5859235662343548,0.0295792708930745,127,10.0,100,15,12,73
4,1,2227,1826,557,24,0.6086175942549371,0.5,0.5642201834862385,0.5301724137931034,0.611996771259447,0.6492787745933805,balanced,False,0.3175375870156762,0.0958691757860558,127,3.0,400,15,37,73
4,2,2227,1826,557,3,0.5691202872531418,0.4549019607843137,0.5345622119815668,0.4915254237288136,0.5737131296424323,0.5806519381946328,balanced,False,0.3175375870156762,0.0958691757860558,127,3.0,400,15,37,73
4,3,2227,1802,557,15,0.5529622980251346,0.4338842975206611,0.4838709677419355,0.457516339869281,0.5566052735272664,0.5606939550013553,balanced,False,0.3175375870156762,0.0958691757860558,127,3.0,400,15,37,73
4,4,2227,1828,557,8,0.4829443447037702,0.3562753036437247,0.4055299539170507,0.3793103448275862,0.4877274523903633,0.4823393873678503,balanced,False,0.3175375870156762,0.0958691757860558,127,3.0,400,15,37,73
4,5,2228,1818,556,17,0.5161870503597122,0.3849557522123893,0.4009216589861751,0.3927765237020316,0.5178472816600398,0.5301578239060397,balanced,False,0.3175375870156762,0.0958691757860558,127,3.0,400,15,37,73
5,1,2227,1826,557,24,0.6283662477558348,0.5303867403314917,0.4403669724770642,0.4812030075187969,0.6207508073519602,0.6302129847636059,,False,0.2761593294861695,0.2002721156324146,255,3.0,300,31,35,73
5,2,2227,1826,557,3,0.5727109515260324,0.4339622641509434,0.3179723502304147,0.3670212765957447,0.5565456383201289,0.5690498780157224,,False,0.2761593294861695,0.2002721156324146,255,3.0,300,31,35,73
5,3,2227,1802,557,15,0.5906642728904847,0.467065868263473,0.3594470046082949,0.40625,0.5780331583089446,0.557075088099756,,False,0.2761593294861695,0.2002721156324146,255,3.0,300,31,35,73
5,4,2227,1828,557,8,0.5421903052064632,0.379746835443038,0.2764976958525346,0.32,0.5244511604064884,0.4931824342640282,,False,0.2761593294861695,0.2002721156324146,255,3.0,300,31,35,73
5,5,2228,1818,556,17,0.5611510791366906,0.4219653179190751,0.336405529953917,0.3743589743589743,0.5497676267679655,0.5460081834617947,,False,0.2761593294861695,0.2002721156324146,255,3.0,300,31,35,73
6,1,2227,1826,557,24,0.6552962298025135,0.5764705882352941,0.4495412844036697,0.5051546391752577,0.6453695130668272,0.6535682390192417,,False,0.4288409367681667,0.1236320540084339,255,3.0,300,31,49,73
6,2,2227,1826,557,3,0.6032315978456014,0.4838709677419355,0.2764976958525346,0.3519061583577713,0.5729945139227447,0.5844266738953646,,False,0.4288409367681667,0.1236320540084339,255,3.0,300,31,49,73
6,3,2227,1802,557,15,0.5870736086175943,0.4601226993865031,0.3456221198156682,0.3947368421052631,0.5729234922801748,0.5688669015993494,,False,0.4288409367681667,0.1236320540084339,255,3.0,300,31,49,73
6,4,2227,1828,557,8,0.5745062836624776,0.427536231884058,0.271889400921659,0.3323943661971831,0.5493062290119397,0.5126457034426674,,False,0.4288409367681667,0.1236320540084339,255,3.0,300,31,49,73
6,5,2228,1818,556,17,0.579136690647482,0.4437086092715231,0.3087557603686636,0.3641304347826087,0.5600635550465658,0.5334339273819719,,False,0.4288409367681667,0.1236320540084339,255,3.0,300,31,49,73
7,1,2227,1826,557,24,0.6552962298025135,0.5844155844155844,0.4128440366972477,0.4838709677419355,0.6405102233714124,0.6597791670049524,,False,0.0798093723131386,0.0294185669199184,127,10.0,200,31,11,73
7,2,2227,1826,557,3,0.59245960502693,0.463768115942029,0.2949308755760368,0.3605633802816901,0.5683228438215625,0.5792220113851992,,False,0.0798093723131386,0.0294185669199184,127,10.0,200,31,11,73
7,3,2227,1802,557,15,0.5906642728904847,0.4620689655172413,0.3087557603686636,0.3701657458563536,0.5695527117914722,0.5798725941989699,,False,0.0798093723131386,0.0294185669199184,127,10.0,200,31,11,73
7,4,2227,1828,557,8,0.5493716337522442,0.3851351351351351,0.2626728110599078,0.3123287671232876,0.5275345739426339,0.5128354567633505,,False,0.0798093723131386,0.0294185669199184,127,10.0,200,31,11,73
7,5,2228,1818,556,17,0.6133093525179856,0.5083333333333333,0.2811059907834101,0.3620178041543027,0.5818573780776278,0.5843426722673083,,False,0.0798093723131386,0.0294185669199184,127,10.0,200,31,11,73
8,1,2227,1826,557,24,0.6391382405745063,0.539906103286385,0.5275229357798165,0.5336426914153132,0.6383659451926674,0.6661660036264242,balanced,False,0.3900035588231815,0.0324147188006886,127,10.0,200,63,11,73
8,2,2227,1826,557,3,0.5565529622980251,0.4404761904761904,0.511520737327189,0.4733475479744136,0.5610679847807017,0.5747492545405258,balanced,False,0.3900035588231815,0.0324147188006886,127,10.0,200,63,11,73
8,3,2227,1802,557,15,0.5691202872531418,0.4416243654822335,0.4009216589861751,0.4202898550724637,0.5648679891908368,0.5640146381133098,balanced,False,0.3900035588231815,0.0324147188006886,127,10.0,200,63,11,73
8,4,2227,1828,557,8,0.533213644524237,0.411522633744856,0.4608294930875576,0.4347826086956521,0.5371268049700216,0.5225941989699106,balanced,False,0.3900035588231815,0.0324147188006886,127,10.0,200,63,11,73
8,5,2228,1818,556,17,0.5827338129496403,0.4598930481283422,0.3963133640552995,0.4257425742574257,0.5760816418186143,0.555374305017468,balanced,False,0.3900035588231815,0.0324147188006886,127,10.0,200,63,11,73
9,1,2227,1826,557,24,0.6606822262118492,0.6239316239316239,0.3348623853211009,0.435820895522388,0.6315281897553209,0.6747855267787071,,False,0.9134135706356248,0.0247116201270494,127,3.0,400,63,37,73
9,2,2227,1826,557,3,0.6319569120287253,0.5769230769230769,0.2073732718894009,0.3050847457627119,0.5764804393657511,0.5899566278124153,,False,0.9134135706356248,0.0247116201270494,127,3.0,400,63,37,73
9,3,2227,1802,557,15,0.599640933572711,0.4727272727272727,0.2396313364055299,0.3180428134556575,0.5613550392238866,0.5670642450528598,,False,0.9134135706356248,0.0247116201270494,127,3.0,400,63,37,73
9,4,2227,1828,557,8,0.5745062836624776,0.4,0.184331797235023,0.252365930599369,0.5272159181563499,0.5162984548658173,,False,0.9134135706356248,0.0247116201270494,127,3.0,400,63,37,73
