trial_number,objective_value,is_best,param_class_weight,param_early_stopping,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
27,0.4752846466223067,False,balanced,False,0.6240928292868995,0.0369099630818575,255,,200,15,26,73,0.5653714012631905,0.0433623759390571,0.450633042807335,0.0471378267331252,0.503631674629011,0.0436864317309785,0.4752846466223067,0.0441334860418452,0.5688182990580473,0.042228158748135,0.5722404967979434,0.0560631653550679
28,0.4872018709788746,False,balanced,False,0.5378585709063879,0.0220448383092588,255,,100,15,34,73,0.5678842204512871,0.0398234860681726,0.4548706948078985,0.0395953679320593,0.526613960174185,0.0532077849893793,0.4872018709788746,0.0412988058520057,0.5715179664274765,0.0391511394325373,0.5857470530580897,0.0503746385307976
29,0.4378683680425282,False,balanced,False,0.3901816081446309,0.0665449324692604,255,,300,63,33,73,0.5668115417899073,0.0471120361437808,0.4433914281162616,0.063809731284822,0.4345326174269648,0.0756220877164436,0.4378683680425282,0.0662690831052715,0.5652792136470295,0.0472430388635853,0.5584543729782034,0.0568521911667446
30,0.4686818962324207,False,balanced,False,0.2399795478001293,0.0210400251144895,255,,500,15,41,73,0.561421670563011,0.0398520091755044,0.4449583303471714,0.0449106011259191,0.4962372637720375,0.0534522828253002,0.4686818962324207,0.0466976831314888,0.5646573313518919,0.0391120610706945,0.570869642820554,0.0509584732833589
31,0.4791891911746155,False,balanced,False,0.5196301546230208,0.0285927644683319,255,10.0,100,15,24,73,0.5635792981413792,0.0498285314290487,0.4507183457235382,0.0514258927238431,0.5128186699361603,0.0420669822688306,0.4791891911746155,0.0458865928539324,0.5672671370458067,0.048708239849087,0.5818024923279266,0.0533770190099015
32,0.4856672316234784,False,balanced,False,0.4232209406131425,0.0137783545202791,255,,100,15,34,73,0.5632137736848224,0.0419591578547917,0.4501223308593509,0.0416545249302826,0.5312011161374879,0.0729922226325486,0.4856672316234784,0.0499575738455071,0.5665783873083122,0.0415581177712422,0.5838146858551709,0.0489029636955981
33,0.4834536104368311,False,balanced,False,0.3719981465115278,0.0137962238771039,255,,100,15,35,73,0.5592672719992766,0.0366617444476304,0.4467120599101841,0.0348269288833399,0.5312222551050606,0.0678471424165916,0.4834536104368311,0.0418068385688329,0.5625615566854119,0.0363837851491102,0.5842198518579098,0.0470623357504305
34,0.2641553123876595,False,,False,0.3448585102521579,0.0135242328325436,255,,100,15,40,73,0.6282196504914561,0.0266346981196153,0.5614010183277183,0.0978633842431968,0.1748573119688834,0.0653400671721331,0.2641553123876595,0.0860010243444282,0.5610868836004723,0.0414377951433751,0.5821391714870152,0.0435408924926964
35,0.4800940339926463,False,balanced,False,0.4145869856203235,0.0133509249630804,255,,100,31,34,73,0.5671635043850018,0.0249835838084049,0.4518980997302767,0.0280301183963278,0.5128313533167039,0.0393511792086149,0.4800940339926463,0.0308270179778769,0.5708423764973579,0.0245270079480922,0.5805937352771382,0.047768426695317
36,0.4792015268609645,False,balanced,False,0.2959422409153904,0.0131920208078725,255,,100,15,30,73,0.5606990170879455,0.0358174138446694,0.4465648300165925,0.0356282360807709,0.5210755506701054,0.0710252449403563,0.4792015268609645,0.0452368283471914,0.563894243653307,0.0350954244797285,0.5796730499746248,0.0488272822633542
